village_name,english_sentence,telugu_sentence,english_telugu_sentence
PasraNagaaram,    PasraNagaaram is famous for its ancient temples.,    ????????? ???? ?????? ?????????? ????????? ????????.,    Pasr?nagara? d?ni pur?tana d?v?lay?laku prasid'dhi cendindi.
Rangapur,    Rangapur is celebrated for its vibrant festivals.,    ???????? ???? ??????????? ?????? ???? ????????????.,    Ra?g?p?r d?ni ?aktivantamaina pa??ugala k?sa? jarupuku???ru.
GovindaraoPeta,   GovindaraoPeta is renowned for its historical monuments.,   ????????????? ???????? ????????? ????????? ????????.,   G?vindar?vup??a c?ritraka ka??a??laku prasid'dhi cendindi.
Gandhinagar,    Gandhinagar is cherished for its peaceful ambiance.,    ??????????? ???? ???????? ???????? ???? ???? ?????????????.,    ??G?ndh?nagar d?ni ??ntiyuta v?t?vara?a? k?sa? ent? gauravin?caba?indi.
Moddula Gudem,    Moddula Gudem is known for its rich agricultural heritage.,    ??????? ????? ???? ????? ??????? ???????????? ????????? ????????.,    Moddula g??e? d?ni goppa vyavas?ya v?rasatv?niki prasid'dhi cendindi.
Karlapalli,    Karlapalli is esteemed for its traditional craftsmanship.,    ????????? ???? ????????? ??????? ???????????? ????????? ????????.,    Karlapalli d?ni s?mprad?ya hastaka?? naipu?y?niki prasid'dhi cendindi.
Laxmipur,   Laxmipur is recognized for its scenic beauty.,   ??????????? ???? ???????? ???????? ????????? ????????.,   Lak?m?p?r d?ni sundaramaina and?niki gurtimpu pondindi.
Sandragudem,Sandragudem is known for its tranquil surroundings.,  ?????????? ?????????? ????????? ?????????.,  Sa??rag??e? pra??ntamaina parisar?laku prasid'dhi.
Balajinagar,Balajinagar is celebrated for its vibrant community.,  ?????????? ???? ??????????? ???? ???? ????????????.,  B?l?j?nagar d?ni ?aktivantamaina sa?gha? k?sa? jarupuku???ru.
Dumpelligudem,Dumpelligudem is cherished for its serene environment.,  ?????????????? ?????????? ???????????? ???? ???? ????????.,  ?umpellig??e? pra??ntamaina v?t?vara??niki ent? ?dara?a pondindi.
Ramnagar,Ramnagar is renowned for its historical significance.,  ??????? ???? ???????? ???????????? ????????? ????????.,  R?nnagar d?ni c?ritraka pr?mukhyataku prasid'dhi cendindi.
Laknavaram Kotagadda,Laknavaram Kotagadda is famous for its picturesque lake.,  ??????? ??????? ???????? ???????? ?????????.,  Laknavara? k??aga??a sundaramaina saras'suku prasid'dhi.
Bussaapur,Bussaapur is known for its bustling markets.,  ?????????? ??????? ???? ???????????? ?????????.,  Bus's?p?r sanda?ig? u??? m?rke??laku prasid'dhi.
Chalvaayi,Chalvaayi is esteemed for its fertile farmlands.,  ??????? ???? ????????? ??????? ??????? ?????????????.,  Calv?yi d?ni s?ravantamaina vyavas?ya bh?mulaku gauravin?caba?indi.
Somalgadda,Somalgadda is recognized for its peaceful ambiance.,  ???????? ???????? ???????????? ????????? ????????.,  S?malaga??a ??ntiyuta v?t?vara??niki gurtimpu pondindi.
Machchapur,Machchapur is celebrated for its abundance of fish.,  ????????? ???? ??????? ???? ????????????.,  Macc?p?r c?pala samr?d'dhi k?sa? jarupuku???ru.
Venkatapur,Venkatapur is cherished for its spiritual significance.,   ?????????? ???? ?????????? ?????????? ???? ???? ?????????????.,   Ve?ka??p?r d?ni ?dhy?tmika pr?mukhyata k?sa? ent? gauravin?caba?indi.
Lingapur,Lingapur is renowned for its ancient heritage.,   ????????? ?????? ???????????? ????????? ????????.,   Li?g?p?r pur?tana v?rasatv?niki prasid'dhi cendindi.
Jewaharnagar,Jewaharnagar is known for its industrious population.,   ??????????? ???? ??????????? ????????? ????????.,   Jevahar?nagar d?ni ?ramaj?vulaku prasid'dhi cendindi.
EllareddyPalli,EllareddyPalli is esteemed for its rich cultural heritage.,   ???????????????? ???? ????? ?????????? ???????? ???? ?????????????.,   Ell?re??ipalli d?ni goppa s?nskr?tika v?rasatva? k?sa? gauravin?caba?indi.
Nallakunta,Nallakunta is famous for its educational institutions.,   ???????? ?????????????? ?????????.,   Nallaku??a vidy?sansthalaku prasid'dhi.
Palampeta,Palampeta is celebrated for its scenic beauty.,   ??????? ???? ???????? ???? ???? ????????????.,   P?lamp??a d?ni sundaramaina anda? k?sa? jarupuku???ru.
Ramanjapur,Ramanjapur is renowned for its grand festivals.,   ????????? ????? ???????? ????????? ????????.,   R?man?jap?r goppa pa??ugalaku prasid'dhi cendindi.
Narayanagiripally,Narayanagiripally is cherished for its serene atmosphere.,   ??????????????? ???? ?????????? ???????????? ???? ???? ????????.,   N?r?ya?agiripalli d?ni pra??ntamaina v?t?vara??niki ent? ?dara?a pondindi.
Papaiahpally,Papaiahpally is recognized for its warm hospitality.,   ??????????? ???? ??????? ??????????? ????????? ????????.,   P?payyapalli d?ni veccani ?tithy?niki gurtimpu pondindi.
Singarakuntapalli,Singarakuntapalli is known for its beautiful gardens.,   ?????????????? ?????? ?????? ?????????.,   Si?garaku??apalli andamaina t??alaku prasid'dhi.
Keshavapur,Keshavapur is famous for its historic monuments.,   ????????? ???????? ????????? ?????????.,   K??av?p?r c?ritraka ka??a??laku prasid'dhi.
Shatharajupally,Shatharajupally is celebrated for its religious fervor.,   ???????????? ???? ??????? ??????? ???? ????????????.,   ??tar?jupalli d?ni mataparamaina uts?ha? k?sa? jarupuku???ru.
Rajeshwararaopally,Rajeshwararaopally is renowned for its cultural richness.,   ????????????????? ???? ?????????? ???????????? ????????? ????????.,   R?j??varar?vupalli d?ni s?nskr?tika goppatan?niki prasid'dhi cendindi.
Inchen Chevupally,Inchen Chevupally is cherished for its scenic vistas.,   ?????? ????????? ???? ???????? ????????? ???? ???? ????????.,   In?cen cevupalli d?ni sundaramaina dr??y?laku ent? ?dara?a pondindi.
Incherla,Incherla is esteemed for its traditional craftsmanship.,   ?????? ????????? ??????? ???????????? ????????? ????????.,   In?carla s?mprad?ya hastaka?? naipu?y?niki gurtimpu pondindi.
Barigalonipally,Barigalonipally is recognized for its agricultural prowess.,   ????????????? ??????? ???????????? ????????? ????????.,   Barigal?nipalli vyavas?ya naipu?y?niki gurtimpu pondindi.
JangaalaPalli,JangaalaPalli is famous for its dense forests.,   ?????????? ??????? ??????? ?????????.,   Ja?g?lapalli da??amaina a?avulaku prasid'dhi.
Banjarupally,Banjarupally is celebrated for its vibrant festivals.,   ?????????? ???? ????????????? ???????? ????????????.,   Ban?jarupalli d?ni uts?habharitamaina pa??ugalaku jarupuku???ru.
Mulug,Mulug is renowned for its natural reserves.,   ?????? ???? ??? ???????? ????????? ????????.,   Mulug d?ni sahaja nilvalaku prasid'dhi cendindi.
Bandarupally,Bandarupally is known for its riverside beauty.,   ??????????? ?????? ???????????? ?????????.,   Ba???rupalli nad?t?ra saundary?niki prasid'dhi.
Jaakaaram,Jaakaaram is cherished for its cultural heritage.,   ?????? ???? ?????????? ???????? ???? ??????????????????.,   J?k?ra? d?ni s?nskr?tika v?rasatva? k?sa? prati???tmakamainadi.
Abbapur,Abbapur is esteemed for its spiritual retreats.,   ????????? ???? ?????????? ??????????? ????????? ????????.,   Abb?p?r d?ni ?dhy?tmika tir?gaman?laku prasid'dhi cendindi.
Mallampalli,Mallampalli is recognized for its religious significance.,   ?????????? ??????? ?????????? ???? ??????????????.,   Mallampalli mataparamaina pr?mukhyata k?sa? gurtin?caba?indi.
Devanagar,Devanagar is famous for its religious festivals.,   ??????? ??????? ???????? ????????? ????????.,   D?vanagar mataparamaina pa??ugalaku prasid'dhi cendindi.
Mahammad Gousepalli,Mahammad Gousepalli is celebrated for its cultural diversity.,   ??????? ????????? ?????????? ???????? ???? ????????????.,   Maham'mad gaus?palli s?nskr?tika vaividhya? k?sa? jarupuku???ru.
Ramchandrapuram,Ramchandrapuram is renowned for its historic monuments.,   ???????????? ???????? ????????? ????????? ????????.,   R?macandrapura? c?ritraka ka??a??laku prasid'dhi cendindi.
Chandru Thanda,Chandru Thanda is known for its scenic beauty.,   ?????? ????? ???? ???????? ???????? ????????? ????????.,   Candru t???? d?ni sundaramaina and?niki prasid'dhi cendindi.
GurthurThanda,GurthurThanda is cherished for its lush greenery.,   ????????????? ???? ??????? ???? ???? ????????????.,   Gurt?rt???? d?ni paccadana? k?sa? ent? i??apa?utundi.
Pandikunta,Pandikunta is recognized for its natural springs.,   ???????? ???? ??? ???? ???????? ????????? ????????.,   Pandiku??a d?ni sahaja n??i buggalaku gurtimpu pondindi.
Bhoopalnagar,Bhoopalnagar is famous for its historical significance.,   ?????? ???? ???? ???????? ???????????? ????????? ????????.,   Bh?p?l nagar d?ni c?ritraka pr?mukhyataku prasid'dhi cendindi.
Pathipalli,Pathipalli is celebrated for its rich cultural heritage.,   ?????????? ???? ????? ?????????? ???????? ???? ????????????.,   Pattipalli d?ni goppa s?nskr?tika v?rasatva? k?sa? jarupuku???ru.
Devagiripatnam,Devagiripatnam is renowned for its spiritual significance.,   ???????????? ?????????? ???????????? ????????? ????????.,   D?vagiripa?na? ?dhy?tmika pr?mukhyataku prasid'dhi cendindi.
Madanapalli,Madanapalli is known for its educational institutions.,   ???????? ?????????????? ?????????.,   Madanapalli vidy?sansthalaku prasid'dhi.
Jaggannapeta,Jaggannapeta is cherished for its religious fervor.,   ?????????? ???? ??????? ??????? ???? ???? ??????????????????.,   Jaggannap??a d?ni mataparamaina utsukata k?sa? ent? prati???tmakamainadi.
Kashindevipeta,Kashindevipeta is esteemed for its historic temples.,   ???????????? ???????????? ?????????? ????????? ????????.,   K???nd?vip??a c?ritr?tmaka d?v?lay?laku prasid'dhi cendindi.
Kannayagudem,Kannayagudem is recognized for its fertile farmlands.,   ??????????? ???? ????????? ??????? ??????? ????????? ????????.,   Kann?yag??e? d?ni s?ravantamaina vyavas?ya bh?mulaku gurtimpu pondindi.
kothur,Kothur is famous for its traditional craftsmanship.,   ?????????? ????????? ???????? ????????? ????????.,   ??Kott?r s?mprad?ya hastaka?aku prasid'dhi cendindi.
Panchothukulapally,Panchothukulapally is celebrated for its vibrant festivals.,   ?????????????? ???? ????????????? ???????? ????????????.,   Pan?c?tukulapalli d?ni uts?habharitamaina pa??ugalaku jarupuku???ru.
Rayinigudem,Rayinigudem is renowned for its scenic beauty.,   ??????????? ???? ???????? ??????? ????????? ????????.,   R?yinig??e? d?ni sundaramaina and?laku prasid'dhi cendindi.
Potlapur,Potlapur is known for its agricultural prosperity.,   ????????? ??????? ??????????? ?????????.,   Po?lap?r vyavas?ya ?r?yas'suku prasid'dhi.
Pegadapalli,Pegadapalli is cherished for its warm hospitality.,   ????????? ???? ??????? ??????????? ??????????????????.,   Pega?apalli d?ni veccani ?tithy?niki prati???tmakamainadi.
Sarvapur,Sarvapur is esteemed for its natural beauty.,   ????????? ???? ??? ???????????? ????????? ????????.,   Sarv?p?r d?ni sahaja saundary?niki prasiddi cendindi.
AakinaPalliMallaram , AakinaPalliMallaram stands tall with its grand temples., ????????? ??????? ???? ????? ?????????? ????????., ?kinapalli mall?ra? d?ni goppa d?v?lay?lat? ettainadi.
Ankannagoodem,  Ankannagoodem is a peaceful village in the countryside.,  ??????????? ????????? ?????????? ??????.,
Bittupalli,  Bittupalli is known for its lush green landscapes.,  ??????????? ?????? ??????? ????????? ?????????.,  Bi??upalli paccani prakr?ti dr??y?laku prasid'dhi.
Bandaala,  Bandaala boasts traditional architecture and friendly locals.,  ?????? ????????? ???????????? ????? ??????????? ??????????? ????? ????.,  Ba???l? s?mprad?ya v?stu?ilpa? mariyu sn?hap?rvaka sth?nikulanu kaligi undi.
Narsapur,  Narsapur is a bustling town with markets full of fresh produce.,  ????????? ???? ??????????? ?????? ???????????? ??????? ???? ??????.,  Nars?p?r t?j? utpattulat? ni??ina m?rke??lat? sanda?ig? u??? pa??a?a?.
Katapur,  Katapur is famous for its historical monuments.,  ???????? ???????? ????????? ?????????.,  K???p?r c?ritraka ka??a??laku prasid'dhi.
Shivvapur,  Shivvapur is nestled amidst scenic hills.,  ???????? ???????? ????? ???? ????.,  ?iv?p?r sundaramaina ko??ala madhya undi.
Gogupalli,  Gogupalli is renowned for its vibrant cultural festivals.,  ????????? ???? ??????????? ?????????? ????????? ????????? ????????.,  G?gupalli d?ni ?aktivantamaina s?nskr?tika utsav?laku prasid'dhi cendindi.
Koyaguda Yellapur,  Koyaguda Yellapur is a quaint village surrounded by fields.,  ?????? ????????? ????? ?????? ???? ?????????? ??????.,  K?yag??a ell?p?r pol?la cu??? unna vicitramaina gr?ma?.
Kamalapur,  Kamalapur is a charming hamlet with a serene atmosphere.,  ???????? ?????????? ?????????? ???????? ????????.,  Kamal?p?r pra??ntamaina v?t?vara?ant? man?haramaina kugr?ma?.
Podumur,   Podumur offers breathtaking views of the surrounding countryside.,   ???????? ??????????? ??????? ???????? ????????????? ????????? ???????????.,   Podum?ru cu??upakkala gr?m??a pr?nt?la utka??habharitamaina dr??y?lanu andistundi.
KomatiPalli,   KomatiPalli is known for its rich cultural heritage.,   ?????????? ????? ?????????? ???????????? ?????????.,   K?ma?ipalli goppa s?nskr?tika v?rasatv?niki prasid'dhi.
KothuruMotlagudem,   KothuruMotlagudem is a picturesque village by the river.,   ?????????????????? ??? ?????? ???? ???????? ??????.,   Kott?rumo?lag??e? nadi o??una unna sundaramaina gr?ma?.
Cherupalli,   Cherupalli is a tranquil retreat away from the city hustle.,   ????????? ???? ??????? ?????? ?????????? ??????? ???????.,   Cerupalli nagara? radd?ki d?ra?g? pra??ntamaina tir?gamana prad??a?.
Buchchampeta,   Buchchampeta is a hidden gem waiting to be explored.,   ????????? ??????? ???? ???? ???? ????? ?????.,   Buccamp??a anv??a?a k?sa? v?ci unna d?cina ratna?.
Balanna Gudem,   Balanna Gudem is a close-knit community with a warm spirit.,   ?????? ????? ?? ????????? ?????? ???????? ?????.,   B?lanna g??e? oka ?tm?yamaina ?tmat? sannihita sam?ja?.
Narsigudem,   Narsigudem is a perfect destination for nature lovers.,   ??????? ??????????? ?????????? ???? ??????????.,   Prakr?ti pr?mikulaku narsig??e? saraina gamyasth?na?.
ThimmamPeta,   ThimmamPeta is famous for its delicious local cuisine.,   ????????? ????????? ??????? ???????? ????????? ????????.,   Tim'mamp??a rucikaramaina sth?nika va??ak?laku prasid'dhi cendindi.
Malluru,   Malluru is a charming village with friendly inhabitants.,   ??????? ??????????? ????????? ???????? ??????.,   Mall?ru sn?hap?rvaka niv?sulat? man?haramaina gr?ma?.
KothaMalluru,   KothaMalluru is a serene getaway surrounded by nature.,   ???????????? ????????? ??????????????? ????????? ???????.,   Kottamall?ru prakr?tit? cu??umu??aba?ina nirmalamaina prad??a?.
ChunchuPalli,   ChunchuPalli is known for its religious festivals and rituals.,   ?????????? ???? ??????? ??????? ????? ???????? ????????? ????????.,   Cun?cupalli d?ni mataparamaina pa??ugalu mariyu ?c?r?laku prasid'dhi cendindi.
Vadagudem,   Vadagudem is a peaceful enclave away from the urban chaos.,   ??????? ????? ???????????? ?????? ?????????? ??????????.,   Va?ag??e? pa??a?a gandarag???niki d?ra?g? pra??ntamaina en?kl?v.
RamanakkaPeta,   RamanakkaPeta is a haven for birdwatchers and nature enthusiasts.,   ????????? ?????? ??????????? ????? ??????? ????????? ??????????.,   Rama?akkap??a pak?ula pari??lakulaku mariyu prakr?ti priyulaku svargadh?ma?.
AakinaPalliMallaram,   AakinaPalliMallaram is a quaint village with a rich history.,   ????????? ??????? ????? ?????? ?????? ?????????? ??????.,   ?kinapalli mall?ra? goppa caritra kaligina vicitramaina gr?ma?.
Brahmanapally,   Brahmanapally is known for its traditional arts and crafts.,   ????????????? ????????? ???? ????? ?????????? ????????? ????????.,   Br?hma?apalli s?mprad?ya ka?alu mariyu c?tipanulaku prasid'dhi cendindi.
RamachandruniPeta,   RamachandruniPeta is a picturesque village nestled in the hills.,   ?????????????? ????? ???? ???? ?? ???????? ??????.,   R?macandrunip??a ko??ala madhya unna oka sundaramaina gr?ma?.
Vagoddugudem,   Vagoddugudem offers stunning views of the sunset over the river.,   ????????????? ????? ???????????? ????? ????????? ????????? ???????????.,   V?go??ug??e? nadipai s?ry?stamaya? yokka adbhutamaina dr??y?lanu andistundi.
Raju Peta,   Raju Peta is famous for its ancient temples and shrines.,   ???? ??? ?????? ????????? ????? ???????????????? ????????? ????????.,   R?ju p??a pur?tana d?v?lay?lu mariyu pu?yak??tr?laku prasid'dhi cendindi.
NarsimhaSagar,   NarsimhaSagar is a serene reservoir perfect for picnics.,   ???????????? ???????????? ?????? ????????? ??????????.,   Narsinhas?gar piknik?laku anuvaina nirmalamaina rijarv?yar.
Puredupally,   Puredupally is a bustling town with vibrant markets.,   ??????????? ??????????? ???????????? ??????? ???? ??????.,   Pur??upalli ?aktivantamaina m?rke??lat? sanda?ig? u??? pa??a?a?.
Domeda,   Domeda is a tranquil village surrounded by lush greenery.,   ????? ????????? ??????????????? ?????????? ??????.,   D?me?a paccadanant? cu??umu??aba?ina pra??ntamaina gr?ma?.
Nimmagudem,   Nimmagudem is a charming hamlet known for its hospitality.,   ?????????? ??????????? ????????? ?????? ???????? ????????.,   Nim'mag??e? ?tithy?niki prasid'dhi cendina man?haramaina kugr?ma?.
RangaaPur,   RangaaPur is a quaint village with a rich cultural heritage.,   ??????? ????? ?????????? ???????? ?????? ?????????? ??????.,   Ra?gap?r goppa s?nskr?tika v?rasatva? kaligina vicitramaina gr?ma?.
BeeRellli,   BeeRellli is a serene retreat amidst rolling hills.,   ???????? ????? ???? ?????????? ????????.,   B?relli ko??ala madhya pra??ntamaina tir?gamana?.
PambaPur,   PambaPur is a picturesque village with colorful gardens.,   ??????? ????????? ?????? ????? ???????? ??????.,   Pambap?r ra?gura?gula t??alat? k??ina sundaramaina gr?ma?.
DameraVaayi,   DameraVaayi is a scenic spot popular for hiking and camping.,   ????????? ??????? ????? ?????????? ???? ????????? ?????? ???????? ???????.,   D?merav?yi haiki?g mariyu ky?mpi?g k?sa? prasid'dhi cendina sundaramaina prad??a?.
BolllePalli,   BolllePalli is a tranquil village with friendly locals.,   ??????????? ??????????? ??????????? ?????????? ??????.,   Bollepalli sn?hap?rvaka sth?nikulat? pra??ntamaina gr?ma?.
Lingaala,   Lingaala is a hidden gem off the beaten path.,   ?????? ????? ????????? ???????? ??????? ?????.,   Li?g?la an?di ko??aba?ina m?rganl? d?caba?ina ratna?.
Madagudem,   Madagudem is known for its beautiful waterfalls and forests.,   ???????? ???? ?????? ???????? ????? ??????? ????????? ????????.,   M??ag??e? d?ni andamaina jalap?t?lu mariyu a?avulaku prasid'dhi cendindi.
Dubbagudem,   Dubbagudem is a peaceful hamlet perfect for relaxation.,   ?????????? ??????????? ???? ?????????? ????????.,   Dubbag??e? vi?r?ntiki saraina pra??ntamaina kugr?ma?.
Kamaram,   Kamaram is a charming village known for its traditional music and dance.,   ???? ????????? ?????? ????? ?????????? ????????? ?????? ?? ???????? ??????.,   Kamara? s?mprad?ya sa?g?ta? mariyu nr?ty?niki prasid'dhi cendina oka man?haramaina gr?ma?.
Ponugondla,   Ponugondla is a quaint settlement surrounded by lush green fields.,   ?????????? ????? ?????? ??????? ??????????????? ?????????? ???????.,   Ponugo??la an?di paccani pol?lat? cu??umu??aba?ina vicitramaina sth?vara?.
Ramavaram,   Ramavaram is a picturesque village nestled in the valley.,   ?????? ????? ???? ?? ???????? ??????.,   R?mavara? l?yal? unna oka sundaramaina gr?ma?.
Marrigudem,   Marrigudem is a serene getaway amidst nature's beauty.,   ?????????? ??????? ????? ???? ????????? ???????.,   Marrig??e? prakr?ti and?la madhya nirmalamaina prad??a?.
MahadevuniGudem,   MahadevuniGudem is a spiritual retreat with ancient temples.,   ?????????????? ?????? ?????????? ????? ?????????? ????????.,   Mah?d?vunig??e? pur?tana d?v?lay?lat? k??ina ?dhy?tmika tir?gamana?.
